ano,funcao,codigoFuncao,subfuncao,codigoSubfuncao,programa,codigoPrograma,acao,codigoAcao,empenhado,liquidado,pago
2015,Saúde,10,Administração geral,122,APERFEICOAMENTO DO TRABALHO E DA EDUCACAO NA SAUDE,1436,GESTAO E ADMINISTRACAO DO PROGRAMA,2272,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,APERFEICOAMENTO DO TRABALHO E DA EDUCACAO NA SAUDE,1436,MODERNIZACAO E QUALIFICACAO DO TRABALHO NO SUS,8631,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,APOIO ADMINISTRATIVO,0750,ADMINISTRACAO DA UNIDADE,2000,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,ATENCAO BASICA EM SAUDE,1214,GESTAO E ADMINISTRACAO DO PROGRAMA,2272,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,EDUCACAO PERMANENTE E QUALIFICACAO PROFISSIONAL NO SISTEMA UNICO DE SAUDE,1311,SERVICO CIVIL PROFISSIONAL EM SAUDE,6196,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS),2015,APOIO A MANUTENCAO DE UNIDADES DE SAUDE,4525,402426510.55,3004219.9,2233333.32
2015,Saúde,10,Administração geral,122,FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS),2015,APRIMORAMENTO DA ARTICULACAO E COOPERACAO INTERFEDERATIVA E PARTICIPATIVA EM SAUDE,8287,22909183.69,8375688.2,8375688.2
2015,Saúde,10,Administração geral,122,FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS),2015,APRIMORAMENTO DA ARTICULARCAO E COOPERACAO INTERFEDERATIVA EM SAUDE,8287,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS),2015,ATUACAO INTERNACIONAL DO MINISTERIO DA SAUDE,20QG,2601517.63,2168785.02,2168785.02
2015,Saúde,10,Administração geral,122,FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS),2015,FUNCIONAMENTO DO CONSELHO NACIONAL DE SAUDE,2016,6769155.2,6247356.85,6247356.85
2015,Saúde,10,Administração geral,122,FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS),2015,INVESTIMENTO PARA A QUALIFICACAO DA ATENCAO A SAUDE E GESTAO DO SUS,7666,38223578.63,32731242.15,32725467.71
2015,Saúde,10,Administração geral,122,FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS),2015,MODERNIZAÇÃO E QUALIFICAÇÃO DO TRABALHO NO SUS,8631,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,GESTAO DA POLITICA DE SAUDE,0016,APRIMORAMENTO DA ARTICULACAO E COOPERACAO INTERFEDERATIVA E PARTICIPATIVA EM SAUDE,8287,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,GESTAO DA POLITICA DE SAUDE,0016,DESENVOLVIMENTO INSTITUCIONAL E MODERNIZACAO ADMINISTRATIVA PARA A MELHORIA DA GESTAO,8580,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,GESTAO DA POLITICA DE SAUDE,0016,FUNCIONAMENTO DO CONSELHO NACIONAL DE SAUDE,2016,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,GESTAO DA POLITICA DE SAUDE,0016,INVESTIMENTO PARA A QUALIFICACAO DA ATENCAO A SAUDE E GESTAO DO SUS,7666,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,INVESTIMENTO PARA HUMANIZACAO E AMPLIACAO DO ACESSO A ATENCAO A SAUDE,1300,FOMENTO A PROJETOS DE MELHORIA DA GESTAO E HUMANIZACAO DOS SERVICOS DE SAUDE,8627,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,INVESTIMENTO PARA HUMANIZACAO E AMPLIACAO DO ACESSO A ATENCAO A SAUDE,1300,INVESTIMENTO PARA A QUALIFICACAO DA ATENCAO A SAUDE E GESTAO DO SUS,7666,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,PARTICIPACAO POPULAR E INTERSETORIALIDADE NA REFORMA SANITARIA E NO SISTEMA UNICO DE SAUDE,1314,GESTAO E ADMINISTRACAO DO PROGRAMA,2272,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE,2115,ADMINISTRACAO DA UNIDADE,2000,845313298.66,760933012.14,755380935.47
2015,Saúde,10,Administração geral,122,PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE,2115,APOIO A IMPLANTACAO E MANUTENCAO DE SISTEMAS E SOLUCOES DE SANEAMENTO AMBIENTAL,20Q8,20147590.06,8568895.7,8563433.17
2015,Saúde,10,Administração geral,122,PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE,2115,APOIO A IMPLANTACAO E MANUTENCAO DOS SISTEMAS DE SANEAMENTO BASICO E ACOES DE SAUDE AMBIENTAL,20Q8,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE,2115,APOIO INSTITUCIONAL PARA AÇÕES DE REDUÇÃO DE RISCOS E AGRAVOS À SAÚDE DA POPULAÇÃO,20QB,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE,2115,APOIO INSTITUCIONAL PARA APRIMORAMENTO DO SUS,20YQ,41708737.66,28636404.36,28629291.86
2015,Saúde,10,Administração geral,122,PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE,2115,APRIMORAMENTO DA GESTÃO EM INSUMOS ESTRATÉGICOS E CIÊNCIA E TECNOLOGIA,20QC,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE,2115,ATIVOS CIVIS DA UNIAO,20TP,8187382423.88,8178021940.57,8177145752.03
2015,Saúde,10,Administração geral,122,PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE,2115,"CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS",09HB,1372347555.51,1368718839.99,1368710974.29
2015,Saúde,10,Administração geral,122,PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE,2115,DESENVOLVIMENTO INSTITUCIONAL E MODERNIZAÇÃO ADMINISTRATIVA PARA A MELHORIA DA GESTÃO,8580,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE,2115,FORTALECIMENTO DAS AÇÕES DE GESTÃO DO TRABALHO E DA EDUCAÇÃO NA SAÚDE,20QA,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA SAUDE,2115,SUPORTE INSTITUCIONAL PARA APRIMORAMENTO DA REDE E PROMOÇÃO DO ACESSO AOS SERVIÇOS DE SAÚDE,20Q9,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,PROTECAO E PROMOCAO DOS POVOS INDIGENAS,0150,GESTAO E ADMINISTRACAO DO PROGRAMA,2272,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,Sem informação,1220,IMPLANTACAO DA NOVA SEDE DO INSTITUTO NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA - INTO,1K09,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,SERVICOS URBANOS DE AGUA E ESGOTO,0122,GESTAO E ADMINISTRACAO DO PROGRAMA,2272,0.0,0.0,0.0
2015,Saúde,10,Administração geral,122,"VIGILANCIA, PREVENCAO E CONTROLE DE DOENCAS E AGRAVOS",1444,GESTAO E ADMINISTRACAO DO PROGRAMA,2272,0.0,0.0,0.0
2015,Saúde,10,Alimentação e nutrição,306,ALIMENTACAO SAUDAVEL,1215,"APOIO A ESTUDOS E PESQUISAS SOBRE ALIMENTACAO E NUTRICAO, COM ENFOQUE NA RECUPERACAO NUTRICIONAL E ALIMENTACAO SAUDAVEL",0806,0.0,0.0,0.0
2015,Saúde,10,Alimentação e nutrição,306,FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS),2015,IMPLEMENTACAO DE ACOES VOLTADAS A ALIMENTACAO E NUTRICAO PARA A SAUDE,8735,3761174.25,1474575.98,1435091.48
2015,Saúde,10,Alimentação e nutrição,306,SEGURANCA ALIMENTAR E NUTRICIONAL,2069,ALIMENTACAO E NUTRICAO PARA A SAUDE,20QH,27446000.0,27446000.0,27446000.0
2015,Saúde,10,Assistência à criança e ao adolescente,243,FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS),2015,IMPLEMENTAÇÃO DE POLÍTICAS DE ATENÇÃO À SAÚDE DO ADOLESCENTE E JOVEM,6177,0.0,0.0,0.0
2015,Saúde,10,Assistência à criança e ao adolescente,243,FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS),2015,IMPLEMENTAÇÃO DE POLÍTICAS DE ATENÇÃO INTEGRAL À SAÚDE DA CRIANÇA,6176,0.0,0.0,0.0
2015,Saúde,10,Assistência à criança e ao adolescente,243,PROMOCAO DA CAPACIDADE RESOLUTIVA E DA HUMANIZACAO NA ATENCAO A SAUDE,1312,IMPLEMENTACAO DE POLITICAS DE ATENCAO A SAUDE DO ADOLESCENTE E JOVEM,6177,0.0,0.0,0.0
2015,Saúde,10,Assistência ao idoso,241,VALORIZAGCO E SAZDE DO IDOSO,0066,IMPLANTACAO DE SERVICOS EXTRA-HOSPITALARES DE ASSISTENCIA A SAUDE DO IDOSO,1847,0.0,0.0,0.0
2015,Saúde,10,Assistência ao portador de deficiência,242,PROMOCAO DA CAPACIDADE RESOLUTIVA E DA HUMANIZACAO NA ATENCAO A SAUDE,1312,IMPLEMENTACAO DE POLITICAS DE ATENCAO A SAUDE DA PESSOA COM DEFICIENCIA,6181,0.0,0.0,0.0
2015,Saúde,10,Assistência aos povos indígenas,423,PROTECAO E PROMOCAO DOS DIREITOS DOS POVOS INDIGENAS,2065,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA",20YP,1343176341.52,1213200349.66,1212363823.32
